trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.5, 'e': 0.6349999999999997}",20,1,-126.4997837518856,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 3}",1
75,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,0,-223.5084606443117,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
76,False,"{'a': 0.5, 'e': 0.6249999999999997}",25,7,19.12958534779262,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-115.58915728716312,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,0,-112.41585448995698,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.6099999999999997}",25,0,-37.97789959616252,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,0,-5.753140091566208,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-116.57424256152933,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
82,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,0,-6.3771150604627005,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.5899999999999996}",25,3,-73.74388714955327,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.5849999999999996}",20,13,-1.0469138565564071,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.5799999999999996}",30,0,-112.91994136121575,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.5749999999999996}",20,2,-33.69155790037701,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,0,-24.493717710187877,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.5649999999999996}",25,3,-65.7677684881235,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
89,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,0,-33.008057144675305,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.5549999999999996}",25,0,-81.08949705757266,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,1,18.391974124145513,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
